"Victims of unlawful entry with intent, Australia"
,"Unlawful entry with intent"
"1993","381,783"
"1994","379,507"
"1995","385,216"
"1996","402,078"
"1997","421,568"
"1998","434,316"
"1999","415,736"
"2000","436,968"
"2001","435,752"
"2002","394,320"
"2003","354,017"
"2004","308,672"
"2005","281,994"
"2006","262,005"
"2007","248,474"
"2008","241,758"
"2009","222,712"
"2010","208,098"
"2011","209,146"
"2012","215,009"
"2013","194,529"
"2014","181,892"
"2015","184,007"
"2016","188,757"
"2017","176,286"
"2018","168,050"
"2019","173,344"

"Source: Australian Bureau of Statistics, 27 years of Recorded Crime – Victims data 16/09/2020"
