"Victims of homicide and related offences, Australia"
,"Homicide and related offences"
"1993","697"
"1994","658"
"1995","657"
"1996","686"
"1997","679"
"1998","718"
"1999","745"
"2000","756"
"2001","809"
"2002","766"
"2003","698"
"2004","616"
"2005","575"
"2006","562"
"2007","532"
"2008","528"
"2009","529"
"2010","460"
"2011","470"
"2012","449"
"2013","434"
"2014","423"
"2015","418"
"2016","453"
"2017","430"
"2018","377"
"2019","416"

"Source: Australian Bureau of Statistics, 27 years of Recorded Crime – Victims data 16/09/2020"
