"Victims of motor vehicle theft, Australia"
,"Motor vehicle theft"
"1993","112,472"
"1994","119,469"
"1995","127,097"
"1996","122,915"
"1997","130,136"
"1998","131,572"
"1999","129,553"
"2000","138,915"
"2001","139,895"
"2002","113,458"
"2003","98,295"
"2004","87,936"
"2005","80,368"
"2006","75,377"
"2007","70,615"
"2008","68,262"
"2009","58,968"
"2010","54,819"
"2011","56,074"
"2012","58,559"
"2013","52,508"
"2014","50,182"
"2015","51,525"
"2016","56,048"
"2017","52,441"
"2018","53,324"
"2019","58,021"

"Source: Australian Bureau of Statistics, 27 years of Recorded Crime – Victims data 16/09/2020"
