"Victims of robbery, Australia"
,"Robbery"
"1993","12,767"
"1994","13,968"
"1995","14,567"
"1996","16,371"
"1997","21,307"
"1998","23,804"
"1999","22,607"
"2000","23,333"
"2001","26,590"
"2002","20,990"
"2003","19,708"
"2004","16,511"
"2005","17,175"
"2006","17,374"
"2007","17,993"
"2008","16,514"
"2009","15,248"
"2010","14,634"
"2011","13,650"
"2012","13,161"
"2013","11,711"
"2014","9,893"
"2015","8,968"
"2016","9,412"
"2017","9,592"
"2018","10,122"
"2019","11,775"

"Source: Australian Bureau of Statistics, 27 years of Recorded Crime – Victims data 16/09/2020"
