"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"5-14 years"	"5-14"	"California"	"06"	"Male"	"M"	17	2687888	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Massachusetts"	"25"	"Male"	"M"	10	440693	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Michigan"	"26"	"Male"	"M"	11	764115	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Texas"	"48"	"Male"	"M"	20	1662367	1.203
	"1999"	"1999"	"15-24 years"	"15-24"	"Alabama"	"01"	"Female"	"F"	13	316324	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Alabama"	"01"	"Male"	"M"	76	317647	23.926
	"1999"	"1999"	"15-24 years"	"15-24"	"Alaska"	"02"	"Male"	"M"	17	47131	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Arizona"	"04"	"Female"	"F"	10	339691	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Arizona"	"04"	"Male"	"M"	68	371056	18.326
	"1999"	"1999"	"15-24 years"	"15-24"	"Arkansas"	"05"	"Male"	"M"	53	193430	27.400
	"1999"	"1999"	"15-24 years"	"15-24"	"California"	"06"	"Female"	"F"	47	2250560	2.088
	"1999"	"1999"	"15-24 years"	"15-24"	"California"	"06"	"Male"	"M"	279	2455726	11.361
	"1999"	"1999"	"15-24 years"	"15-24"	"Colorado"	"08"	"Female"	"F"	16	283612	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Colorado"	"08"	"Male"	"M"	71	313172	22.671
	"1999"	"1999"	"15-24 years"	"15-24"	"Connecticut"	"09"	"Male"	"M"	27	203760	13.251
	"1999"	"1999"	"15-24 years"	"15-24"	"Florida"	"12"	"Female"	"F"	24	924921	2.595
	"1999"	"1999"	"15-24 years"	"15-24"	"Florida"	"12"	"Male"	"M"	140	974807	14.362
	"1999"	"1999"	"15-24 years"	"15-24"	"Georgia"	"13"	"Female"	"F"	21	562460	3.734
	"1999"	"1999"	"15-24 years"	"15-24"	"Georgia"	"13"	"Male"	"M"	99	601682	16.454
	"1999"	"1999"	"15-24 years"	"15-24"	"Hawaii"	"15"	"Male"	"M"	12	87734	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Idaho"	"16"	"Male"	"M"	24	104568	22.952
	"1999"	"1999"	"15-24 years"	"15-24"	"Illinois"	"17"	"Female"	"F"	22	839351	2.621
	"1999"	"1999"	"15-24 years"	"15-24"	"Illinois"	"17"	"Male"	"M"	119	888143	13.399
	"1999"	"1999"	"15-24 years"	"15-24"	"Indiana"	"18"	"Female"	"F"	13	428517	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Indiana"	"18"	"Male"	"M"	80	447229	17.888
	"1999"	"1999"	"15-24 years"	"15-24"	"Iowa"	"19"	"Male"	"M"	48	218633	21.955
	"1999"	"1999"	"15-24 years"	"15-24"	"Kansas"	"20"	"Male"	"M"	49	204698	23.938
	"1999"	"1999"	"15-24 years"	"15-24"	"Kentucky"	"21"	"Male"	"M"	47	292201	16.085
	"1999"	"1999"	"15-24 years"	"15-24"	"Louisiana"	"22"	"Male"	"M"	76	345450	22.000
	"1999"	"1999"	"15-24 years"	"15-24"	"Maine"	"23"	"Male"	"M"	13	80597	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Maryland"	"24"	"Female"	"F"	12	325943	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Maryland"	"24"	"Male"	"M"	52	332432	15.642
	"1999"	"1999"	"15-24 years"	"15-24"	"Massachusetts"	"25"	"Female"	"F"	12	402622	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Massachusetts"	"25"	"Male"	"M"	32	401845	7.963
	"1999"	"1999"	"15-24 years"	"15-24"	"Michigan"	"26"	"Female"	"F"	20	667635	2.996
	"1999"	"1999"	"15-24 years"	"15-24"	"Michigan"	"26"	"Male"	"M"	119	690022	17.246
	"1999"	"1999"	"15-24 years"	"15-24"	"Minnesota"	"27"	"Female"	"F"	11	335609	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Minnesota"	"27"	"Male"	"M"	67	349616	19.164
	"1999"	"1999"	"15-24 years"	"15-24"	"Mississippi"	"28"	"Male"	"M"	40	225700	17.723
	"1999"	"1999"	"15-24 years"	"15-24"	"Missouri"	"29"	"Female"	"F"	21	383799	5.472
	"1999"	"1999"	"15-24 years"	"15-24"	"Missouri"	"29"	"Male"	"M"	85	392084	21.679
	"1999"	"1999"	"15-24 years"	"15-24"	"Montana"	"30"	"Male"	"M"	22	66989	32.841
