"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1979"	"1979"	526	3873403	13.580
	"Alabama"	"01"	"1980"	"1980"	617	3898117	15.828
	"Alabama"	"01"	"1981"	"1981"	551	3920097	14.056
	"Alabama"	"01"	"1982"	"1982"	508	3925924	12.940
	"Alabama"	"01"	"1983"	"1983"	419	3933838	10.651
	"Alabama"	"01"	"1984"	"1984"	424	3952400	10.728
	"Alabama"	"01"	"1985"	"1985"	452	3974101	11.374
	"Alabama"	"01"	"1986"	"1986"	459	3993162	11.495
	"Alabama"	"01"	"1987"	"1987"	455	4017181	11.326
	"Alabama"	"01"	"1988"	"1988"	470	4027045	11.671
	"Alabama"	"01"	"1989"	"1989"	504	4034980	12.491
	"Alabama"	"01"	"1990"	"1990"	549	4043643	13.577
	"Alabama"	"01"	"1991"	"1991"	587	4101607	14.311
	"Alabama"	"01"	"1992"	"1992"	542	4155699	13.042
	"Alabama"	"01"	"1993"	"1993"	580	4216208	13.756
	"Alabama"	"01"	"1994"	"1994"	598	4262457	14.029
	"Alabama"	"01"	"1995"	"1995"	527	4298981	12.259
	"Alabama"	"01"	"1996"	"1996"	526	4334219	12.136
	"Alabama"	"01"	"1997"	"1997"	514	4370490	11.761
	"Alabama"	"01"	"1998"	"1998"	453	4408398	10.276
"Total"	"Alabama"	"01"			10261	81741950	12.553
	"Alaska"	"02"	"1979"	"1979"	50	404735	12.354
	"Alaska"	"02"	"1980"	"1980"	33	403594	8.177
	"Alaska"	"02"	"1981"	"1981"	53	420161	12.614
	"Alaska"	"02"	"1982"	"1982"	55	451672	12.177
	"Alaska"	"02"	"1983"	"1983"	56	490111	11.426
	"Alaska"	"02"	"1984"	"1984"	49	515014	9.514
	"Alaska"	"02"	"1985"	"1985"	43	533411	8.061
	"Alaska"	"02"	"1986"	"1986"	43	544113	7.903
	"Alaska"	"02"	"1987"	"1987"	46	538774	8.538
	"Alaska"	"02"	"1988"	"1988"	27	541504	4.986
	"Alaska"	"02"	"1989"	"1989"	32	547442	5.845
	"Alaska"	"02"	"1990"	"1990"	31	549982	5.637
	"Alaska"	"02"	"1991"	"1991"	43	570440	7.538
	"Alaska"	"02"	"1992"	"1992"	41	589389	6.956
	"Alaska"	"02"	"1993"	"1993"	41	599884	6.835
	"Alaska"	"02"	"1994"	"1994"	33	603918	5.464
	"Alaska"	"02"	"1995"	"1995"	54	605068	8.925
	"Alaska"	"02"	"1996"	"1996"	42	609231	6.894
	"Alaska"	"02"	"1997"	"1997"	55	613530	8.965
	"Alaska"	"02"	"1998"	"1998"	47	620503	7.575
"Total"	"Alaska"	"02"			874	10752476	8.128
	"Arizona"	"04"	"1979"	"1979"	233	2643879	8.813
	"Arizona"	"04"	"1980"	"1980"	283	2725485	10.383
	"Arizona"	"04"	"1981"	"1981"	267	2816864	9.479
	"Arizona"	"04"	"1982"	"1982"	253	2896090	8.736
	"Arizona"	"04"	"1983"	"1983"	248	2974479	8.338
	"Arizona"	"04"	"1984"	"1984"	261	3072024	8.496
	"Arizona"	"04"	"1985"	"1985"	251	3190632	7.867
	"Arizona"	"04"	"1986"	"1986"	326	3315309	9.833
	"Arizona"	"04"	"1987"	"1987"	282	3444621	8.187
	"Arizona"	"04"	"1988"	"1988"	317	3543501	8.946
	"Arizona"	"04"	"1989"	"1989"	310	3629959	8.540
	"Arizona"	"04"	"1990"	"1990"	300	3670009	8.174
	"Arizona"	"04"	"1991"	"1991"	340	3789418	8.972
	"Arizona"	"04"	"1992"	"1992"	348	3917373	8.884
	"Arizona"	"04"	"1993"	"1993"	363	4066852	8.926
	"Arizona"	"04"	"1994"	"1994"	446	4247728	10.500
	"Arizona"	"04"	"1995"	"1995"	518	4433841	11.683
	"Arizona"	"04"	"1996"	"1996"	430	4589841	9.369
	"Arizona"	"04"	"1997"	"1997"	409	4739994	8.629
	"Arizona"	"04"	"1998"	"1998"	421	4886250	8.616
"Total"	"Arizona"	"04"			6606	72594149	9.100
	"Arkansas"	"05"	"1979"	"1979"	228	2270804	10.040
	"Arkansas"	"05"	"1980"	"1980"	252	2288599	11.011
	"Arkansas"	"05"	"1981"	"1981"	244	2293696	10.638
	"Arkansas"	"05"	"1982"	"1982"	227	2294665	9.893
	"Arkansas"	"05"	"1983"	"1983"	216	2305943	9.367
	"Arkansas"	"05"	"1984"	"1984"	200	2320088	8.620
	"Arkansas"	"05"	"1985"	"1985"	212	2328082	9.106
	"Arkansas"	"05"	"1986"	"1986"	230	2332608	9.860
	"Arkansas"	"05"	"1987"	"1987"	216	2343274	9.218
	"Arkansas"	"05"	"1988"	"1988"	254	2344127	10.836
	"Arkansas"	"05"	"1989"	"1989"	242	2348699	10.304
	"Arkansas"	"05"	"1990"	"1990"	253	2352527	10.754
	"Arkansas"	"05"	"1991"	"1991"	295	2384138	12.373
	"Arkansas"	"05"	"1992"	"1992"	295	2416429	12.208
	"Arkansas"	"05"	"1993"	"1993"	291	2457014	11.844
	"Arkansas"	"05"	"1994"	"1994"	310	2494910	12.425
	"Arkansas"	"05"	"1995"	"1995"	282	2535835	11.121
	"Arkansas"	"05"	"1996"	"1996"	238	2573244	9.249
	"Arkansas"	"05"	"1997"	"1997"	289	2602253	11.106
	"Arkansas"	"05"	"1998"	"1998"	228	2627564	8.677
"Total"	"Arkansas"	"05"			5002	47914499	10.439
	"California"	"06"	"1979"	"1979"	2961	23304422	12.706
	"California"	"06"	"1980"	"1980"	3433	23729183	14.467
	"California"	"06"	"1981"	"1981"	3182	24344273	13.071
	"California"	"06"	"1982"	"1982"	2854	24870183	11.476
	"California"	"06"	"1983"	"1983"	2667	25398443	10.501
	"California"	"06"	"1984"	"1984"	2772	25881851	10.710
	"California"	"06"	"1985"	"1985"	2779	26488512	10.491
