"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1979"	"1979"	376	3873403	9.707
	"Alabama"	"01"	"1980"	"1980"	457	3898117	11.724
	"Alabama"	"01"	"1981"	"1981"	384	3920097	9.796
	"Alabama"	"01"	"1982"	"1982"	360	3925924	9.170
	"Alabama"	"01"	"1983"	"1983"	268	3933838	6.813
	"Alabama"	"01"	"1984"	"1984"	290	3952400	7.337
	"Alabama"	"01"	"1985"	"1985"	299	3974101	7.524
	"Alabama"	"01"	"1986"	"1986"	320	3993162	8.014
	"Alabama"	"01"	"1987"	"1987"	306	4017181	7.617
	"Alabama"	"01"	"1988"	"1988"	340	4027045	8.443
	"Alabama"	"01"	"1989"	"1989"	342	4034980	8.476
	"Alabama"	"01"	"1990"	"1990"	381	4043643	9.422
	"Alabama"	"01"	"1991"	"1991"	423	4101607	10.313
	"Alabama"	"01"	"1992"	"1992"	387	4155699	9.313
	"Alabama"	"01"	"1993"	"1993"	412	4216208	9.772
	"Alabama"	"01"	"1994"	"1994"	432	4262457	10.135
	"Alabama"	"01"	"1995"	"1995"	400	4298981	9.305
	"Alabama"	"01"	"1996"	"1996"	382	4334219	8.814
	"Alabama"	"01"	"1997"	"1997"	371	4370490	8.489
	"Alabama"	"01"	"1998"	"1998"	326	4408398	7.395
	"Alaska"	"02"	"1979"	"1979"	36	404735	8.895
	"Alaska"	"02"	"1980"	"1980"	19	403594	4.708 (Unreliable)
	"Alaska"	"02"	"1981"	"1981"	40	420161	9.520
	"Alaska"	"02"	"1982"	"1982"	37	451672	8.192
	"Alaska"	"02"	"1983"	"1983"	34	490111	6.937
	"Alaska"	"02"	"1984"	"1984"	35	515014	6.796
	"Alaska"	"02"	"1985"	"1985"	30	533411	5.624
	"Alaska"	"02"	"1986"	"1986"	31	544113	5.697
	"Alaska"	"02"	"1987"	"1987"	28	538774	5.197
	"Alaska"	"02"	"1988"	"1988"	17	541504	3.139 (Unreliable)
	"Alaska"	"02"	"1989"	"1989"	23	547442	4.201
	"Alaska"	"02"	"1990"	"1990"	12	549982	2.182 (Unreliable)
	"Alaska"	"02"	"1991"	"1991"	17	570440	2.980 (Unreliable)
	"Alaska"	"02"	"1992"	"1992"	21	589389	3.563
	"Alaska"	"02"	"1993"	"1993"	19	599884	3.167 (Unreliable)
	"Alaska"	"02"	"1994"	"1994"	21	603918	3.477
	"Alaska"	"02"	"1995"	"1995"	32	605068	5.289
	"Alaska"	"02"	"1996"	"1996"	29	609231	4.760
	"Alaska"	"02"	"1997"	"1997"	31	613530	5.053
	"Alaska"	"02"	"1998"	"1998"	28	620503	4.512
	"Arizona"	"04"	"1979"	"1979"	138	2643879	5.220
	"Arizona"	"04"	"1980"	"1980"	161	2725485	5.907
	"Arizona"	"04"	"1981"	"1981"	159	2816864	5.645
	"Arizona"	"04"	"1982"	"1982"	140	2896090	4.834
	"Arizona"	"04"	"1983"	"1983"	128	2974479	4.303
	"Arizona"	"04"	"1984"	"1984"	129	3072024	4.199
	"Arizona"	"04"	"1985"	"1985"	137	3190632	4.294
	"Arizona"	"04"	"1986"	"1986"	166	3315309	5.007
	"Arizona"	"04"	"1987"	"1987"	156	3444621	4.529
	"Arizona"	"04"	"1988"	"1988"	197	3543501	5.559
	"Arizona"	"04"	"1989"	"1989"	164	3629959	4.518
	"Arizona"	"04"	"1990"	"1990"	184	3670009	5.014
	"Arizona"	"04"	"1991"	"1991"	215	3789418	5.674
	"Arizona"	"04"	"1992"	"1992"	236	3917373	6.024
	"Arizona"	"04"	"1993"	"1993"	239	4066852	5.877
	"Arizona"	"04"	"1994"	"1994"	324	4247728	7.628
	"Arizona"	"04"	"1995"	"1995"	382	4433841	8.616
	"Arizona"	"04"	"1996"	"1996"	298	4589841	6.493
	"Arizona"	"04"	"1997"	"1997"	285	4739994	6.013
	"Arizona"	"04"	"1998"	"1998"	292	4886250	5.976
	"Arkansas"	"05"	"1979"	"1979"	174	2270804	7.662
	"Arkansas"	"05"	"1980"	"1980"	190	2288599	8.302
	"Arkansas"	"05"	"1981"	"1981"	179	2293696	7.804
	"Arkansas"	"05"	"1982"	"1982"	165	2294665	7.191
	"Arkansas"	"05"	"1983"	"1983"	160	2305943	6.939
	"Arkansas"	"05"	"1984"	"1984"	132	2320088	5.689
	"Arkansas"	"05"	"1985"	"1985"	136	2328082	5.842
	"Arkansas"	"05"	"1986"	"1986"	154	2332608	6.602
	"Arkansas"	"05"	"1987"	"1987"	132	2343274	5.633
	"Arkansas"	"05"	"1988"	"1988"	167	2344127	7.124
	"Arkansas"	"05"	"1989"	"1989"	170	2348699	7.238
	"Arkansas"	"05"	"1990"	"1990"	182	2352527	7.736
	"Arkansas"	"05"	"1991"	"1991"	202	2384138	8.473
	"Arkansas"	"05"	"1992"	"1992"	218	2416429	9.022
	"Arkansas"	"05"	"1993"	"1993"	202	2457014	8.221
	"Arkansas"	"05"	"1994"	"1994"	205	2494910	8.217
	"Arkansas"	"05"	"1995"	"1995"	212	2535835	8.360
	"Arkansas"	"05"	"1996"	"1996"	164	2573244	6.373
	"Arkansas"	"05"	"1997"	"1997"	196	2602253	7.532
	"Arkansas"	"05"	"1998"	"1998"	155	2627564	5.899
	"California"	"06"	"1979"	"1979"	1803	23304422	7.737
	"California"	"06"	"1980"	"1980"	2114	23729183	8.909
	"California"	"06"	"1981"	"1981"	1919	24344273	7.883
	"California"	"06"	"1982"	"1982"	1669	24870183	6.711
	"California"	"06"	"1983"	"1983"	1502	25398443	5.914
	"California"	"06"	"1984"	"1984"	1618	25881851	6.251
	"California"	"06"	"1985"	"1985"	1562	26488512	5.897
	"California"	"06"	"1986"	"1986"	1782	27149692	6.564
	"California"	"06"	"1987"	"1987"	1768	27834578	6.352
	"California"	"06"	"1988"	"1988"	1870	28538528	6.553
	"California"	"06"	"1989"	"1989"	2141	29309226	7.305
	"California"	"06"	"1990"	"1990"	2539	29829422	8.512
	"California"	"06"	"1991"	"1991"	2898	30482745	9.507
	"California"	"06"	"1992"	"1992"	3049	30992952	9.838
	"California"	"06"	"1993"	"1993"	3183	31296016	10.171
	"California"	"06"	"1994"	"1994"	2938	31505058	9.325
	"California"	"06"	"1995"	"1995"	2677	31719735	8.440
	"California"	"06"	"1996"	"1996"	2152	32046821	6.715
	"California"	"06"	"1997"	"1997"	1975	32514514	6.074
	"California"	"06"	"1998"	"1998"	1573	33021362	4.764
	"Colorado"	"08"	"1979"	"1979"	83	2854156	2.908
	"Colorado"	"08"	"1980"	"1980"	101	2896401	3.487
	"Colorado"	"08"	"1981"	"1981"	132	2983957	4.424
	"Colorado"	"08"	"1982"	"1982"	106	3068025	3.455
	"Colorado"	"08"	"1983"	"1983"	111	3137512	3.538
	"Colorado"	"08"	"1984"	"1984"	97	3172473	3.058
	"Colorado"	"08"	"1985"	"1985"	106	3211081	3.301
	"Colorado"	"08"	"1986"	"1986"	142	3239353	4.384
	"Colorado"	"08"	"1987"	"1987"	101	3261010	3.097
	"Colorado"	"08"	"1988"	"1988"	89	3263281	2.727
	"Colorado"	"08"	"1989"	"1989"	78	3276660	2.380
	"Colorado"	"08"	"1990"	"1990"	78	3295529	2.367
	"Colorado"	"08"	"1991"	"1991"	101	3387824	2.981
	"Colorado"	"08"	"1992"	"1992"	123	3496821	3.517
	"Colorado"	"08"	"1993"	"1993"	141	3614735	3.901
	"Colorado"	"08"	"1994"	"1994"	133	3725509	3.570
	"Colorado"	"08"	"1995"	"1995"	119	3827609	3.109
	"Colorado"	"08"	"1996"	"1996"	110	3921395	2.805
	"Colorado"	"08"	"1997"	"1997"	92	4018882	2.289
	"Colorado"	"08"	"1998"	"1998"	112	4118190	2.720
	"Connecticut"	"09"	"1979"	"1979"	79	3101686	2.547
	"Connecticut"	"09"	"1980"	"1980"	100	3109321	3.216
	"Connecticut"	"09"	"1981"	"1981"	89	3131032	2.843
	"Connecticut"	"09"	"1982"	"1982"	86	3141181	2.738
	"Connecticut"	"09"	"1983"	"1983"	74	3164200	2.339
	"Connecticut"	"09"	"1984"	"1984"	76	3182426	2.388
	"Connecticut"	"09"	"1985"	"1985"	66	3204314	2.060
	"Connecticut"	"09"	"1986"	"1986"	78	3226567	2.417
	"Connecticut"	"09"	"1987"	"1987"	93	3251130	2.861
	"Connecticut"	"09"	"1988"	"1988"	116	3275681	3.541
	"Connecticut"	"09"	"1989"	"1989"	134	3287127	4.077
	"Connecticut"	"09"	"1990"	"1990"	115	3287825	3.498
	"Connecticut"	"09"	"1991"	"1991"	124	3303749	3.753
	"Connecticut"	"09"	"1992"	"1992"	124	3301385	3.756
	"Connecticut"	"09"	"1993"	"1993"	149	3309945	4.502
	"Connecticut"	"09"	"1994"	"1994"	145	3316918	4.372
	"Connecticut"	"09"	"1995"	"1995"	104	3324324	3.128
	"Connecticut"	"09"	"1996"	"1996"	119	3337947	3.565
	"Connecticut"	"09"	"1997"	"1997"	80	3349822	2.388
	"Connecticut"	"09"	"1998"	"1998"	90	3366615	2.673
	"Delaware"	"10"	"1979"	"1979"	20	599476	3.336
	"Delaware"	"10"	"1980"	"1980"	26	595519	4.366
	"Delaware"	"10"	"1981"	"1981"	20	596658	3.352
	"Delaware"	"10"	"1982"	"1982"	13	599565	2.168 (Unreliable)
	"Delaware"	"10"	"1983"	"1983"	10	605660	1.651 (Unreliable)
	"Delaware"	"10"	"1984"	"1984"	13	611723	2.125 (Unreliable)
	"Delaware"	"10"	"1985"	"1985"	16	618730	2.586 (Unreliable)
	"Delaware"	"10"	"1986"	"1986"	24	628001	3.822
	"Delaware"	"10"	"1987"	"1987"	17	637508	2.667 (Unreliable)
	"Delaware"	"10"	"1988"	"1988"	10	648489	1.542 (Unreliable)
	"Delaware"	"10"	"1989"	"1989"	19	659194	2.882 (Unreliable)
	"Delaware"	"10"	"1990"	"1990"	19	666780	2.850 (Unreliable)
	"Delaware"	"10"	"1991"	"1991"	17	683489	2.487 (Unreliable)
	"Delaware"	"10"	"1992"	"1992"	12	695038	1.727 (Unreliable)
	"Delaware"	"10"	"1993"	"1993"	22	706719	3.113
	"Delaware"	"10"	"1994"	"1994"	18	717867	2.507 (Unreliable)
	"Delaware"	"10"	"1995"	"1995"	19	730099	2.602 (Unreliable)
	"Delaware"	"10"	"1996"	"1996"	31	741330	4.182
	"Delaware"	"10"	"1997"	"1997"	15	751824	1.995 (Unreliable)
	"Delaware"	"10"	"1998"	"1998"	15	763841	1.964 (Unreliable)
	"District of Columbia"	"11"	"1979"	"1979"	95	658050	14.437
	"District of Columbia"	"11"	"1980"	"1980"	93	640822	14.513
	"District of Columbia"	"11"	"1981"	"1981"	123	638852	19.253
	"District of Columbia"	"11"	"1982"	"1982"	121	636098	19.022
	"District of Columbia"	"11"	"1983"	"1983"	93	634223	14.664
	"District of Columbia"	"11"	"1984"	"1984"	90	635294	14.167
	"District of Columbia"	"11"	"1985"	"1985"	91	636435	14.298
	"District of Columbia"	"11"	"1986"	"1986"	96	640289	14.993
	"District of Columbia"	"11"	"1987"	"1987"	118	639144	18.462
	"District of Columbia"	"11"	"1988"	"1988"	218	633081	34.435
	"District of Columbia"	"11"	"1989"	"1989"	265	628088	42.192
