"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	555	4430141	12.528
	"Alabama"	"01"	"2000"	"2000"	583	4447100	13.110
	"Alabama"	"01"	"2001"	"2001"	512	4467634	11.460
	"Alabama"	"01"	"2002"	"2002"	514	4480089	11.473
	"Alabama"	"01"	"2003"	"2003"	521	4503491	11.569
	"Alabama"	"01"	"2004"	"2004"	541	4530729	11.941
	"Alabama"	"01"	"2005"	"2005"	535	4569805	11.707
	"Alabama"	"01"	"2006"	"2006"	580	4628981	12.530
	"Alabama"	"01"	"2007"	"2007"	592	4672840	12.669
	"Alabama"	"01"	"2008"	"2008"	604	4718206	12.801
	"Alabama"	"01"	"2009"	"2009"	673	4757938	14.145
	"Alabama"	"01"	"2010"	"2010"	679	4779736	14.206
	"Alabama"	"01"	"2011"	"2011"	654	4802740	13.617
	"Alabama"	"01"	"2012"	"2012"	724	4822023	15.014
	"Alabama"	"01"	"2013"	"2013"	721	4833722	14.916
	"Alabama"	"01"	"2014"	"2014"	715	4849377	14.744
	"Alabama"	"01"	"2015"	"2015"	750	4858979	15.435
	"Alabama"	"01"	"2016"	"2016"	788	4863300	16.203
	"Alabama"	"01"	"2017"	"2017"	836	4874747	17.150
	"Alabama"	"01"	"2018"	"2018"	823	4887871	16.838
	"Alabama"	"01"	"2019"	"2019"	804	4903185	16.398
	"Alabama"	"01"	"2020 "	"2020"	793	4921532	16.113
"Total"	"Alabama"	"01"			14497	103604166	13.993
	"Alaska"	"02"	"1999"	"1999"	96	624779	15.365
	"Alaska"	"02"	"2000"	"2000"	137	626932	21.852
	"Alaska"	"02"	"2001"	"2001"	102	633714	16.096
	"Alaska"	"02"	"2002"	"2002"	132	642337	20.550
	"Alaska"	"02"	"2003"	"2003"	124	648414	19.124
	"Alaska"	"02"	"2004"	"2004"	155	659286	23.510
	"Alaska"	"02"	"2005"	"2005"	131	666946	19.642
	"Alaska"	"02"	"2006"	"2006"	135	675302	19.991
	"Alaska"	"02"	"2007"	"2007"	149	680300	21.902
	"Alaska"	"02"	"2008"	"2008"	169	687455	24.583
	"Alaska"	"02"	"2009"	"2009"	143	698895	20.461
	"Alaska"	"02"	"2010"	"2010"	164	710231	23.091
	"Alaska"	"02"	"2011"	"2011"	143	722718	19.786
	"Alaska"	"02"	"2012"	"2012"	168	731449	22.968
	"Alaska"	"02"	"2013"	"2013"	171	735132	23.261
	"Alaska"	"02"	"2014"	"2014"	167	736732	22.668
	"Alaska"	"02"	"2015"	"2015"	201	738432	27.220
	"Alaska"	"02"	"2016"	"2016"	193	741894	26.014
	"Alaska"	"02"	"2017"	"2017"	200	739795	27.035
	"Alaska"	"02"	"2018"	"2018"	184	737438	24.951
	"Alaska"	"02"	"2019"	"2019"	210	731545	28.706
	"Alaska"	"02"	"2020 "	"2020"	204	731158	27.901
"Total"	"Alaska"	"02"			3478	15300884	22.731
	"Arizona"	"04"	"1999"	"1999"	766	5023823	15.247
	"Arizona"	"04"	"2000"	"2000"	784	5130632	15.281
	"Arizona"	"04"	"2001"	"2001"	767	5273477	14.544
	"Arizona"	"04"	"2002"	"2002"	886	5396255	16.419
	"Arizona"	"04"	"2003"	"2003"	840	5510364	15.244
	"Arizona"	"04"	"2004"	"2004"	880	5652404	15.569
	"Arizona"	"04"	"2005"	"2005"	945	5839077	16.184
	"Arizona"	"04"	"2006"	"2006"	979	6029141	16.238
	"Arizona"	"04"	"2007"	"2007"	1016	6167681	16.473
	"Arizona"	"04"	"2008"	"2008"	972	6280362	15.477
	"Arizona"	"04"	"2009"	"2009"	1060	6343154	16.711
	"Arizona"	"04"	"2010"	"2010"	1093	6392017	17.099
	"Arizona"	"04"	"2011"	"2011"	1160	6482505	17.894
	"Arizona"	"04"	"2012"	"2012"	1156	6553255	17.640
	"Arizona"	"04"	"2013"	"2013"	1163	6626624	17.550
	"Arizona"	"04"	"2014"	"2014"	1244	6731484	18.480
	"Arizona"	"04"	"2015"	"2015"	1276	6828065	18.688
	"Arizona"	"04"	"2016"	"2016"	1271	6931071	18.338
	"Arizona"	"04"	"2017"	"2017"	1327	7016270	18.913
	"Arizona"	"04"	"2018"	"2018"	1438	7171646	20.051
	"Arizona"	"04"	"2019"	"2019"	1419	7278717	19.495
	"Arizona"	"04"	"2020 "	"2020"	1363	7421401	18.366
"Total"	"Arizona"	"04"			23805	138079425	17.240
	"Arkansas"	"05"	"1999"	"1999"	336	2651860	12.670
	"Arkansas"	"05"	"2000"	"2000"	349	2673400	13.055
	"Arkansas"	"05"	"2001"	"2001"	382	2691571	14.192
	"Arkansas"	"05"	"2002"	"2002"	377	2705927	13.932
	"Arkansas"	"05"	"2003"	"2003"	374	2724816	13.726
	"Arkansas"	"05"	"2004"	"2004"	361	2749686	13.129
	"Arkansas"	"05"	"2005"	"2005"	400	2781097	14.383
	"Arkansas"	"05"	"2006"	"2006"	376	2821761	13.325
	"Arkansas"	"05"	"2007"	"2007"	402	2848650	14.112
	"Arkansas"	"05"	"2008"	"2008"	447	2874554	15.550
