AFG,Afghanistan,Asia,Southern,Asia,34169000,4270000,12.5,2,N/A,N/A,,,,
ALB,Albania,Europe,Southern,Europe,2911000,350000,12,2,65747,284253,,,,
DZA,Algeria,Africa,Northern,Africa,41064000,877000,2.1,2,200000,677000,,,,
ASM,American,Samoa,Oceania,Polynesia,56000,400,0.7,2,250,150,,,,
AND,Andorra,Europe,Southern,Europe,69000,10000,14.1,3,7599,2401,,,,
AGO,Angola,Africa,Middle,Africa,26656000,2982000,11.2,2,N/A,N/A,,,,
ATG,Antigua,and,Barbuda,Americas,Caribbean,94000,5000,5.4,2,1449,3551,,,
ARG,Argentina,Americas,South,America,44272000,3256000,7.4,2,1562332,1693668,,,,
ARM,Armenia,Asia,Western,Asia,3032000,186000,6.1,3,45822,140178,,,,
ABW,Aruba,Americas,Caribbean,105000,3000,2.6,3,N/A,N/A,,,,,
AUS,Australia,Oceania,Australia/New,Zealand,24642000,3573000,14.5,2,3158795,414205,,,,
AUT,Austria,Europe,Western,Europe,8592000,2577000,30,1,837000,1740000,,,,
AZE,Azerbaijan,Asia,Western,Asia,9974000,362000,3.6,2,N/A,N/A,,,,
BHS,"Bahamas,",The,Americas,Caribbean,397000,74000,18.8,2,17110,56890,,,,
BHR,Bahrain,Asia,Western,Asia,1419000,181000,12.8,3,N/A,N/A,,,,
BGD,Bangladesh,Asia,Southern,Asia,164828000,659000,0.4,2,185000,474000,,,,
BRB,Barbados,Americas,Caribbean,286000,10000,3.5,3,3000,7000,,,,,
BLR,Belarus,Europe,Eastern,Europe,9459000,581000,6.1,3,130000,451000,,,,
BEL,Belgium,Europe,Western,Europe,11444000,1451000,12.7,1,426939,1024061,,,,
BLZ,Belize,Americas,Central,America,375000,37000,10,2,10755,26245,,,,
BEN,Benin,Africa,Western,Africa,11459000,33000,0.3,2,N/A,N/A,,,,
BMU,Bermuda,Americas,Northern,America,61000,3000,4.6,3,N/A,N/A,,,,
BTN,Bhutan,Asia,Southern,Asia,793000,6000,0.8,3,4309,1691,,,,
BOL,"Bolivia,",Plurinational,State,of,Americas,South,America,11053000,218000,2,3,10982,207018,
BIH,Bosnia,and,Herzegovina,Europe,Southern,Europe,3793000,1185000,31.2,2,353000,832000,,
BWA,Botswana,Africa,Southern,Africa,2344000,97000,4.1,2,32901,64099,,,,
BRA,Brazil,Americas,South,America,211243000,17510000,8.3,2,8080295,9429705,,,,
BRN,Brunei,Darussalam,Asia,South-eastern,Asia,434000,6000,1.4,2,N/A,N/A,,,
BGR,Bulgaria,Europe,Eastern,Europe,7045000,590000,8.4,1,345733,244267,,,,
BFA,Burkina,Faso,Africa,Western,Africa,19173000,175000,0.9,2,N/A,N/A,,,
BDI,Burundi,Africa,Eastern,Africa,11936000,238000,2,2,N/A,N/A,,,,
CPV,Cabo,Verde,(Cape,Verde),Africa,Western,Africa,533000,31000,5.7,2,N/A,N/A,
KHM,Cambodia,Asia,South-eastern,Asia,16076000,717000,4.5,2,N/A,N/A,,,,
