"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	438	4430141	9.9
	"Alabama"	"01"	"2000"	"2000"	444	4447100	10.0
	"Alabama"	"01"	"2001"	"2001"	425	4467634	9.5
	"Alabama"	"01"	"2002"	"2002"	416	4480089	9.3
	"Alabama"	"01"	"2003"	"2003"	434	4503491	9.6
	"Alabama"	"01"	"2004"	"2004"	369	4530729	8.1
	"Alabama"	"01"	"2005"	"2005"	433	4569805	9.5
	"Alabama"	"01"	"2006"	"2006"	445	4628981	9.6
	"Alabama"	"01"	"2007"	"2007"	480	4672840	10.3
	"Alabama"	"01"	"2008"	"2008"	454	4718206	9.6
	"Alabama"	"01"	"2009"	"2009"	412	4757938	8.7
	"Alabama"	"01"	"2010"	"2010"	391	4779736	8.2
	"Alabama"	"01"	"2011"	"2011"	392	4802740	8.2
	"Alabama"	"01"	"2012"	"2012"	405	4822023	8.4
	"Alabama"	"01"	"2013"	"2013"	417	4833722	8.6
	"Alabama"	"01"	"2014"	"2014"	374	4849377	7.7
	"Alabama"	"01"	"2015"	"2015"	473	4858979	9.7
	"Alabama"	"01"	"2016"	"2016"	544	4863300	11.2
	"Alabama"	"01"	"2017"	"2017"	602	4874747	12.3
	"Alabama"	"01"	"2018"	"2018"	568	4887871	11.6
	"Alabama"	"01"	"2019"	"2019"	587	4903185	12.0
	"Alabama"	"01"	"2020 "	"2020"	654	4921532	13.3
	"Alaska"	"02"	"1999"	"1999"	51	624779	8.2
	"Alaska"	"02"	"2000"	"2000"	37	626932	5.9
	"Alaska"	"02"	"2001"	"2001"	38	633714	6.0
	"Alaska"	"02"	"2002"	"2002"	40	642337	6.2
	"Alaska"	"02"	"2003"	"2003"	47	648414	7.2
	"Alaska"	"02"	"2004"	"2004"	41	659286	6.2
	"Alaska"	"02"	"2005"	"2005"	37	666946	5.5
	"Alaska"	"02"	"2006"	"2006"	43	675302	6.4
	"Alaska"	"02"	"2007"	"2007"	50	680300	7.3
	"Alaska"	"02"	"2008"	"2008"	29	687455	4.2
	"Alaska"	"02"	"2009"	"2009"	26	698895	3.7
	"Alaska"	"02"	"2010"	"2010"	44	710231	6.2
	"Alaska"	"02"	"2011"	"2011"	36	722718	5.0
	"Alaska"	"02"	"2012"	"2012"	38	731449	5.2
	"Alaska"	"02"	"2013"	"2013"	43	735132	5.8
	"Alaska"	"02"	"2014"	"2014"	37	736732	5.0
	"Alaska"	"02"	"2015"	"2015"	62	738432	8.4
	"Alaska"	"02"	"2016"	"2016"	54	741894	7.3
	"Alaska"	"02"	"2017"	"2017"	78	739795	10.5
	"Alaska"	"02"	"2018"	"2018"	56	737438	7.6
	"Alaska"	"02"	"2019"	"2019"	78	731545	10.7
	"Alaska"	"02"	"2020 "	"2020"	55	731158	7.5
	"Arizona"	"04"	"1999"	"1999"	470	5023823	9.4
	"Arizona"	"04"	"2000"	"2000"	410	5130632	8.0
	"Arizona"	"04"	"2001"	"2001"	494	5273477	9.4
	"Arizona"	"04"	"2002"	"2002"	504	5396255	9.3
	"Arizona"	"04"	"2003"	"2003"	498	5510364	9.0
