"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	293	4430141	6.6
	"Alabama"	"01"	"2000"	"2000"	294	4447100	6.6
	"Alabama"	"01"	"2001"	"2001"	302	4467634	6.8
	"Alabama"	"01"	"2002"	"2002"	292	4480089	6.5
	"Alabama"	"01"	"2003"	"2003"	322	4503491	7.2
	"Alabama"	"01"	"2004"	"2004"	262	4530729	5.8
	"Alabama"	"01"	"2005"	"2005"	319	4569805	7.0
	"Alabama"	"01"	"2006"	"2006"	333	4628981	7.2
	"Alabama"	"01"	"2007"	"2007"	378	4672840	8.1
	"Alabama"	"01"	"2008"	"2008"	349	4718206	7.4
	"Alabama"	"01"	"2009"	"2009"	317	4757938	6.7
	"Alabama"	"01"	"2010"	"2010"	283	4779736	5.9
	"Alabama"	"01"	"2011"	"2011"	292	4802740	6.1
	"Alabama"	"01"	"2012"	"2012"	306	4822023	6.3
	"Alabama"	"01"	"2013"	"2013"	317	4833722	6.6
	"Alabama"	"01"	"2014"	"2014"	292	4849377	6.0
	"Alabama"	"01"	"2015"	"2015"	391	4858979	8.0
	"Alabama"	"01"	"2016"	"2016"	454	4863300	9.3
	"Alabama"	"01"	"2017"	"2017"	506	4874747	10.4
	"Alabama"	"01"	"2018"	"2018"	468	4887871	9.6
	"Alabama"	"01"	"2019"	"2019"	486	4903185	9.9
	"Alabama"	"01"	"2020 "	"2020"	564	4921532	11.5
	"Alaska"	"02"	"1999"	"1999"	27	624779	4.3
	"Alaska"	"02"	"2000"	"2000"	16	626932	Unreliable
	"Alaska"	"02"	"2001"	"2001"	25	633714	3.9
	"Alaska"	"02"	"2002"	"2002"	26	642337	4.0
	"Alaska"	"02"	"2003"	"2003"	32	648414	4.9
	"Alaska"	"02"	"2004"	"2004"	20	659286	3.0
	"Alaska"	"02"	"2005"	"2005"	24	666946	3.6
	"Alaska"	"02"	"2006"	"2006"	28	675302	4.1
	"Alaska"	"02"	"2007"	"2007"	25	680300	3.7
	"Alaska"	"02"	"2008"	"2008"	15	687455	Unreliable
	"Alaska"	"02"	"2009"	"2009"	17	698895	Unreliable
	"Alaska"	"02"	"2010"	"2010"	30	710231	4.2
