"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Jan., 1999"	"1999/01"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Feb., 1999"	"1999/02"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Mar., 1999"	"1999/03"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Apr., 1999"	"1999/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"May, 1999"	"1999/05"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jun., 1999"	"1999/06"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Jul., 1999"	"1999/07"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Aug., 1999"	"1999/08"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Sep., 1999"	"1999/09"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Oct., 1999"	"1999/10"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Nov., 1999"	"1999/11"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Dec., 1999"	"1999/12"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Jan., 2000"	"2000/01"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Feb., 2000"	"2000/02"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Mar., 2000"	"2000/03"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Apr., 2000"	"2000/04"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"May, 2000"	"2000/05"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Jun., 2000"	"2000/06"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Jul., 2000"	"2000/07"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Aug., 2000"	"2000/08"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Sep., 2000"	"2000/09"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Oct., 2000"	"2000/10"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Nov., 2000"	"2000/11"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Dec., 2000"	"2000/12"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Jan., 2001"	"2001/01"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Feb., 2001"	"2001/02"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Mar., 2001"	"2001/03"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Apr., 2001"	"2001/04"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"May, 2001"	"2001/05"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Jun., 2001"	"2001/06"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Jul., 2001"	"2001/07"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Aug., 2001"	"2001/08"	27	Not Applicable	Not Applicable
